OBJECTID,ID,2021 Period of Construction - 1961 to 1980 (Census),2021 Period of Construction - 1961 to 1980 (Census) (%),2021 Period of Construction - 1981 to 1990 (Census),2021 Period of Construction - 1981 to 1990 (Census) (%),2021 Period of Construction - 1991 to 2000 (Census),2021 Period of Construction - 1991 to 2000 (Census) (%),2021 Period of Construction - 2001 to 2005 (Census),2021 Period of Construction - 2001 to 2005 (Census) (%),2021 Period of Construction - 2006 to 2010 (Census),2021 Period of Construction - 2006 to 2010 (Census) (%),2021 Period of Construction - 2011 to 2016 (Census),2021 Period of Construction - 2011 to 2016 (Census) (%),2021 Period of Construction - 2016 to 2021 (Census),2021 Period of Construction - 2016 to 2021 (Census) (%),2021 Period of Construction - 1960 or Before (Census),2021 Period of Construction - 1960 or Before (Census) (%),2021 Housing: Apartment or Flat in Duplex (Census),2021 Housing: Apartment or Flat in Duplex (Census) (%),2021-2022 Total Population % Change,2022-2023 Current$ Household Average Income % Change,2022-2023 Total Population % Change,2023-2024 Current$ Household Average Income % Change,2023-2024 Total Population % Change,2024 Condominium Charges (Shelter),2024 Condominium Charges (Shelter) (Avg),2024 Condominium Status - In Condo,2024 Condominium Status - In Condo (%),2024 Condominium Status - Not In Condo,2024 Condominium Status - Not In Condo (%),2024 Condominium Status - Total Households,2024 Female Household Population,2024 Female Household Population (%),2024 Financial Services,2024 Financial Services (Avg),2024 Household Aggregate Income (Current Year $),2024 Household Average Income (Current Year $),2024 Household Median Income (Current Year $),2024 Household Type - Total Households,2024 Household Discretionary Aggregate Income,2024 Household Disposable Aggregate Income,2024 Household Aggregate Income,2024 Labour Force - Labour Employment Rate,2024 Labour Force - Labour Participation Rate,2024 Labour Force - Labour Unemployment Rate,2024 Maintainers - 25 to 34,2024 Maintainers - 25 to 34 (%),2024 Maintainers - 35 to 44,2024 Maintainers - 35 to 44 (%),2024 Maintainers - 45 to 54,2024 Maintainers - 45 to 54 (%),2024 Maintainers - 55 to 64,2024 Maintainers - 55 to 64 (%),2024 Maintainers - Median Age,2024 Male Household Population,2024 Male Household Population (%),2024 Pop 15+: Divorced,2024 Pop 15+: Divorced (%),2024 Pop 15+: Living Common Law,2024 Pop 15+: Living Common Law (%),2024 Pop 15+: Married (And Not Separated),2024 Pop 15+: Married (And Not Separated) (%),2024 Pop 15+: Married or Living Common-Law,2024 Pop 15+: Married or Living Common-Law (%),2024 Pop 15+: Not Married or Common-Law,2024 Pop 15+: Not Married or Common-Law (%),2024 Pop 15+: Separated,2024 Pop 15+: Separated (%),2024 Pop 15+: Single (Never Legally Married),2024 Pop 15+: Single (Never Legally Married) (%),2024 Pop 15+: Widowed,2024 Pop 15+: Widowed (%),2024 Property Taxes (Shelter),2024 Property Taxes (Shelter) (Avg),2024 Regular Mortgage Payments (Shelter),2024 Regular Mortgage Payments (Shelter) (Avg),"2024 Structure Type Apartment, Building Five or More Story","2024 Structure Type Apartment, Building Five or More Story (%)","2024 Structure Type Apartment, Building Fewer Than Five Story","2024 Structure Type Apartment, Building Fewer Than Five Story (%)",2024 Structure Type Movable Dwelling,2024 Structure Type Movable Dwelling (%),2024 Structure Type Other Single-Attached House,2024 Structure Type Other Single-Attached House (%),2024 Structure Type Row House,2024 Structure Type Row House (%),2024 Structure Type Semi-Detached House,2024 Structure Type Semi-Detached House (%),2024 Structure Type Single-Detached House,2024 Structure Type Single-Detached House (%),"2024 Service Charges for Banks, Other Financial Institutions","2024 Service Charges for Banks, Other Financial Institutions (Avg)",2024 Tenure: Band Housing,2024 Tenure: Band Housing (%),2024 Tenure: Owned,2024 Tenure: Owned (%),2024 Tenure: Rented,2024 Tenure: Rented (%),2024 Tenure: Total Households,2024 Total Population,2024 Visible Minority Arab,2024 Visible Minority Arab (%),2024 Visible Minority Black,2024 Visible Minority Black (%),2024 Visible Minority Chinese,2024 Visible Minority Chinese (%),2024 Visible Minority Filipino,2024 Visible Minority Filipino (%),2024 Visible Minority Japanese,2024 Visible Minority Japanese (%),2024 Visible Minority Korean,2024 Visible Minority Korean (%),2024 Visible Minority Latin American,2024 Visible Minority Latin American (%),2024 Visible Minority South Asian,2024 Visible Minority South Asian (%),2024 Visible Minority Southeast Asian,2024 Visible Minority Southeast Asian (%),2024 Visible Minority Total Population,2024 Visible Minority Total Population (%),2024 Visible Minority West Asian,2024 Visible Minority West Asian (%),2024-2025 Current$ Household Average Income % Change,2024-2025 Total Population % Change,2025-2026 Current$ Household Average Income % Change,2025-2026 Total Population % Change,2026-2027 Current$ Household Average Income % Change,2026-2027 Total Population % Change,FREQUENCY,SUM_FUNDED,CONVERSION_RATE,Shape__Area,Shape__Length
69,B2T,190,2.89,453,6.9,1528,23.27,1031,15.7,1115,16.98,758,11.54,709,10.8,538,8.19,436,6.64,3.3,4.1,3.2,-0.7,2,412393.12,57.73,79,1.11,7064,98.89,7143,9842,49.27,6318594.6,884.59,1125482101.55,1126913674.89,157762.88,560532437.69,799156709.74,135227.58,7143,92.6,69.4,7.4,825,11.55,1323,18.52,1710,23.94,1509,21.13,52.5,10133,50.73,832,4.98,1612,9.66,9361,56.08,10973,65.74,5719,34.26,431,2.58,3851,23.07,604,3.62,18354277.57,2569.55,68521916.53,9592.88,1423463.93,199.28,426,5.96,0,0,165,2.31,10,0.14,79,1.11,166,2.32,6094,85.31,0,0,6068,84.95,1075,15.05,7143,19991,31,0.16,223,1.12,52,0.26,72,0.36,2,0.01,1,0.01,61,0.31,180,0.9,9,0.05,705,3.53,0,0,1.4,2.8,2.7,2.4,3.2,2.3,36,2,5.55555555555556,1177454434,329421.308795013
137,B2V,49,1.12,176,4.04,1625,37.27,1127,25.85,766,17.57,286,6.56,202,4.63,134,3.07,44,1.01,3.5,4.3,3.4,-0.6,1.8,372583.82,79.22,117,2.49,4566,97.09,4703,6664,50.77,3963807.73,842.83,650472973.91,649798914.61,138171.3,330735088.76,476305551.78,124198.78,4703,91.8,65.3,8.2,540,11.48,997,21.2,849,18.05,956,20.33,54.4,6461,49.23,520,4.73,907,8.24,6142,55.81,7049,64.05,3956,35.95,267,2.43,2651,24.09,518,4.71,12591858.18,2677.41,40848442.83,8685.61,894486.12,190.19,440,9.36,0,0,0,0,0,0,33,0.7,448,9.53,3731,79.33,20,0.43,3995,84.95,688,14.63,4703,13125,40,0.3,581,4.43,172,1.31,106,0.81,29,0.22,20,0.15,2,0.02,155,1.18,43,0.33,1190,9.07,42,0.32,1.8,1.6,3,1.5,3.3,1.2,21,0,0,20905976,24440
398,B2W,199,1.37,1490,10.26,5092,35.06,2597,17.88,1725,11.88,1020,7.02,1297,8.93,853,5.87,449,3.09,3.7,4.4,3.7,-0.4,2.1,2679777.89,169.87,880,5.58,14895,94.42,15775,20335,51.42,10455236.02,662.77,1733249114.66,1736002404.43,110048.08,902340583.88,1311491207,93166.31,15775,91.5,60.5,8.5,2087,13.23,2957,18.74,2482,15.73,2896,18.36,55.7,19211,48.58,1913,5.64,3454,10.18,16313,48.07,19767,58.25,14170,41.75,995,2.93,8922,26.29,2340,6.9,30134834.77,1910.29,95988488.87,6084.85,2667572.31,169.1,2539,16.1,621,3.94,185,1.17,10,0.06,1045,6.62,2217,14.05,8941,56.68,0,0,11012,69.81,4763,30.19,15775,39951,440,1.11,2407,6.09,360,0.91,378,0.96,74,0.19,26,0.07,178,0.45,768,1.94,235,0.59,5249,13.27,141,0.36,1.8,2.2,3.2,1.8,3.6,1.5,70,7,10,48531730,52632.8448660996
1260,B2X,110,2.22,809,16.33,1718,34.69,1116,22.53,713,14.4,294,5.94,99,2,102,2.06,102,2.06,3.4,4.1,3.4,-0.6,1.8,553354.41,103.72,103,1.93,5232,98.07,5335,6805,50.39,3776546.03,707.88,663310913.74,663077660.76,124287.6,345301423.49,492748837.49,105340.82,5335,90.7,63.9,9.3,904,16.94,994,18.63,900,16.87,1034,19.38,51.4,6699,49.61,671,5.8,1296,11.21,5021,43.42,6317,54.63,5247,45.37,367,3.17,3693,31.94,516,4.46,10858348.86,2035.3,35264850.45,6610.09,983595.07,184.37,827,15.5,256,4.8,0,0,0,0,162,3.04,745,13.96,3227,60.49,0,0,3709,69.52,1626,30.48,5335,13594,189,1.4,834,6.18,70,0.52,330,2.44,0,0,0,0,11,0.08,618,4.58,107,0.79,2224,16.47,0,0,1.7,2.2,3.1,1.7,3.5,1.5,34,1,2.94117647058824,27625754,29624.5069196598
1544,B2Y,511,6.45,2805,35.39,2624,33.1,894,11.28,415,5.24,339,4.28,229,2.89,344,4.34,278,3.51,3.2,4.2,3.1,-0.5,1.6,1730630.29,202.72,927,10.86,7610,89.14,8537,8704,50.78,4364080.35,511.2,753371904.02,753257672.49,88235.28,390213546.84,570291188.33,69136.37,8537,89,63.1,11,1973,23.11,1454,17.03,1032,12.09,1495,17.51,49.4,8438,49.22,1109,7.32,2449,16.17,5050,33.34,7499,49.51,7649,50.5,606,4,5201,34.34,732,4.83,8407782.99,984.86,27029183.21,3166.12,1275849.4,149.45,3483,40.8,921,10.79,189,2.21,17,0.2,266,3.12,656,7.68,2461,28.83,0,0,3420,40.06,5117,59.94,8537,17365,264,1.54,1068,6.23,171,1,220,1.28,84,0.49,114,0.67,48,0.28,715,4.17,70,0.41,2841,16.57,18,0.11,1.7,1.9,3.1,1.5,3.5,1.2,52,1,1.92307692307692,11946272,17108
1507,B2Z,19,0.58,290,8.92,871,26.78,639,19.65,802,24.66,232,7.13,236,7.26,97,2.98,84,2.58,3.3,4.2,3.3,-0.6,1.7,211868.56,60.85,21,0.6,3461,99.4,3482,4639,50.08,2402297.4,689.92,415532316.26,412443163.31,118451.2,212549271.25,308072302.25,104513.65,3482,92.3,61.8,7.7,364,10.45,606,17.4,595,17.09,826,23.72,56.9,4625,49.93,384,4.8,859,10.73,3965,49.53,4824,60.25,3182,39.75,220,2.75,2163,27.02,416,5.2,7686273.17,2207.43,27658746.79,7943.35,628613.32,180.53,22,0.63,0,0,145,4.16,6,0.17,4,0.11,30,0.86,3255,93.48,0,0,3226,92.65,256,7.35,3482,9276,0,0,1626,17.55,92,0.99,13,0.14,0,0,0,0,20,0.22,44,0.48,33,0.36,1861,20.09,0,0,1.5,2.4,2.8,2.1,3.1,1.6,14,0,0,262071342,107911.319934604
1543,B3A,422,3.68,2886,25.18,4095,35.73,1796,15.67,1306,11.4,378,3.3,285,2.49,440,3.84,274,2.39,3.7,4.4,3.6,-0.3,1.9,1555675.27,124.81,710,5.7,11754,94.3,12464,12134,49.54,5592424.55,448.69,998492907.33,998552696.62,80115.71,521854654.74,763764460.26,62356.2,12464,89.4,64,10.6,2812,22.56,2260,18.13,1735,13.92,2032,16.3,46.8,12360,50.46,1675,7.71,2939,13.52,6523,30.01,9462,43.53,12276,56.47,877,4.03,8620,39.65,1103,5.07,9198828.2,738.03,29084857.18,2333.51,1868062.84,149.88,6404,51.38,1569,12.59,52,0.42,0,0,424,3.4,307,2.46,3254,26.11,0,0,3611,28.97,8853,71.03,12464,24772,76,0.31,1701,6.94,321,1.31,634,2.59,37,0.15,42,0.17,245,1,2312,9.44,108,0.44,5735,23.41,63,0.26,2.1,2.2,3.4,1.8,3.8,1.6,71,5,7.04225352112676,50771656,42560.3379464398
579,B3B,5,0.83,221,36.71,179,29.73,15,2.49,30,4.98,4,0.66,16,2.66,104,17.28,34,5.65,4.3,4.2,4.4,-0.5,2.6,8325.93,11.89,28,4,672,96,700,1007,50.83,379665.94,542.38,74351522.61,70561054.93,100818.97,36910195.44,54490196.51,86624.28,700,86.5,71.1,13.5,213,30.43,155,22.14,94,13.43,87,12.43,42.5,974,49.17,100,6.23,277,17.27,546,34.04,824,51.37,781,48.69,82,5.11,535,33.35,64,3.99,275910.8,394.16,534720.71,763.89,140819.29,201.17,294,42,53,7.57,0,0,0,0,301,43,4,0.57,41,5.86,0,0,33,4.71,667,95.29,700,2055,3,0.15,141,7.12,8,0.4,3,0.15,0,0,1,0.05,1,0.05,107,5.4,2,0.1,266,13.43,0,0,1.1,6.2,2.5,5.6,2.8,5,1,0,0,8213062,16392.1689732199
106,B3E,25,0.86,182,6.25,755,25.91,620,21.28,589,20.21,211,7.24,181,6.21,148,5.08,227,7.79,3.4,4.4,3.3,-0.4,1.7,173194.05,55.33,34,1.09,3097,98.95,3130,3994,49.1,2071088.8,661.69,359641871.45,363049792.8,115982.89,186152202.94,270640588.84,99556.68,3130,90.3,65.5,9.7,381,12.17,615,19.65,648,20.7,615,19.65,53.4,4140,50.9,382,5.51,973,14.03,3445,49.69,4418,63.72,2515,36.28,230,3.32,1559,22.49,345,4.98,6726844.43,2149.15,24675064.75,7883.41,563419.73,180.01,13,0.42,0,0,106,3.39,0,0,40,1.28,8,0.26,2937,93.83,0,0,2890,92.33,240,7.67,3130,8134,14,0.17,248,3.05,18,0.22,6,0.07,0,0,0,0,14,0.17,14,0.17,2,0.02,318,3.91,0,0,1.6,3.2,3,2.9,3.2,2.5,12,1,8.33333333333333,224739242,121736.671720364
1011,B3G,84,1.96,224,5.23,782,18.27,953,22.26,825,19.27,514,12.01,459,10.72,241,5.63,281,6.56,3.2,4.5,3.3,-0.2,1.5,476641.48,104.16,107,2.34,4469,97.66,4576,6094,50.16,2731577.83,596.94,523808093.37,523762324.25,114458.62,264402658.03,390281692.63,101341.54,4576,92.8,66.5,7.2,736,16.08,1052,22.99,828,18.09,839,18.33,49.9,6055,49.84,555,5.49,1323,13.09,4755,47.05,6079,60.15,4028,39.85,332,3.28,2639,26.11,501,4.96,9604271.15,2098.84,38792578.49,8477.4,847839.36,185.28,109,2.38,0,0,426,9.31,5,0.11,65,1.42,1588,34.7,2296,50.17,0,0,4001,87.43,575,12.57,4576,12274,102,0.84,376,3.1,0,0,112,0.92,0,0,0,0,0,0,158,1.3,0,0,841,6.92,0,0,1.9,3.3,3.2,2.8,3.6,2.5,34,0,0,64957854,79936.1689732199
1034,B3H,658,6.32,3698,35.5,3016,28.95,1058,10.16,993,9.53,500,4.8,362,3.47,273,2.62,519,4.98,3.9,3.7,3.9,-1,2.3,2980225.13,258.16,1521,13.18,10023,86.82,11544,11835,49.93,8700919.59,753.72,1286262914.48,1286514280.23,111443.84,601477839.89,880201975.8,64473.32,11544,85.1,66.1,14.9,3855,33.39,1534,13.29,907,7.86,957,8.29,33.5,11870,50.07,673,3.08,2990,13.69,5998,27.47,8988,41.16,12846,58.83,308,1.41,11134,50.99,731,3.35,13453650.5,1165.42,38963033.69,3375.18,1800998.1,156.01,3626,31.41,4704,40.75,0,0,28,0.24,84,0.73,80,0.69,2309,20,0,0,3274,28.36,8270,71.64,11544,24432,587,2.48,854,3.6,1882,7.94,355,1.5,234,0.99,429,1.81,445,1.88,1809,7.63,330,1.39,7432,31.35,264,1.11,1.4,2.4,2.7,2,3.2,1.7,56,4,7.14285714285714,14186198,23724.1689732199
186,B3J,38,0.75,694,13.72,788,15.57,489,9.66,617,12.19,409,8.08,388,7.67,387,7.65,1288,25.45,6.4,4.9,6.2,0.1,4.4,1299996.74,213.82,1102,18.13,4978,81.88,6080,5255,47.5,2200209.48,361.88,524449651.69,525420501.2,86418.37,259908268.63,384206720.53,68150.67,6080,88.2,71.1,11.8,2865,47.12,859,14.13,362,5.95,327,5.38,31.4,5808,52.5,330,3.11,2238,21.09,2152,20.28,4390,41.38,6220,58.62,133,1.25,5599,52.77,158,1.49,1307255.55,215.01,6334343.1,1041.83,835225.62,137.37,1128,18.55,4757,78.24,0,0,1,0.02,83,1.37,29,0.48,37,0.61,0,0,658,10.82,5422,89.18,6080,11131,366,3.31,372,3.36,1221,11.04,38,0.34,16,0.14,168,1.52,173,1.56,2030,18.35,128,1.16,4748,42.92,99,0.89,1.8,4.4,3.2,3.8,3.6,3.4,36,0,0,2239926,6616.16897321992
450,B3K,1011,8.55,4431,37.49,2854,24.15,942,7.97,782,6.62,488,4.13,769,6.51,477,4.04,1076,9.1,3.5,4.4,3.8,-0.3,2.2,2301979.25,175,1710,13,11444,87,13154,13093,50.25,5605150.87,426.12,1146019831.31,1147837979.53,87259.04,572878373.49,853693331.13,69670.19,13154,89.1,69.8,10.9,4299,32.68,2620,19.92,1428,10.86,1513,11.5,39.1,12965,49.75,1228,5.22,4700,19.98,5812,24.7,10512,44.68,13015,55.32,633,2.69,10381,44.12,773,3.29,8675647.3,659.54,34480758.4,2621.31,1987958.63,151.13,3843,29.22,4346,33.04,0,0,49,0.37,1391,10.57,395,3,2029,15.42,0,0,3652,27.76,9502,72.24,13154,26650,755,2.9,2326,8.93,455,1.75,295,1.13,141,0.54,245,0.94,185,0.71,1899,7.29,203,0.78,6884,26.42,144,0.55,1.8,3,3.3,2.5,3.7,2.3,82,6,7.31707317073171,10452988,21996
1094,B3L,959,11.39,4582,54.41,2144,25.46,562,6.67,544,6.46,161,1.91,176,2.09,147,1.75,107,1.27,3.5,4.2,3.3,-0.4,1.7,1405464.09,153.96,350,3.83,8779,96.17,9129,10442,50.41,5351647.4,586.22,967224322.3,963433536.6,105535.64,483122503.14,708719957.9,80168.74,9129,89.1,68.1,10.9,2576,28.22,1814,19.87,1127,12.35,1152,12.62,41.6,10271,49.59,870,4.76,2620,14.35,6080,33.29,8700,47.63,9564,52.37,383,2.1,7623,41.74,689,3.77,10236503.66,1121.32,36778289.07,4028.73,1539770.2,168.67,2323,25.45,1700,18.62,5,0.05,20,0.22,399,4.37,162,1.77,3485,38.18,0,0,3586,39.28,5543,60.72,9129,20902,584,2.82,1005,4.85,564,2.72,163,0.79,40,0.19,174,0.84,120,0.58,2029,9.8,115,0.56,5165,24.94,159,0.77,1.7,1.2,3.1,0.8,3.5,0.6,81,5,6.17283950617284,8959704,14664
400,B3M,177,1.1,1319,8.23,4550,28.38,2736,17.06,2332,14.55,1124,7.01,1270,7.92,951,5.93,1751,10.92,4.3,4.2,4.2,-0.5,2.5,4031228.01,228.48,2107,11.94,15537,88.06,17644,20737,50.99,8889576.1,503.83,1652284466.62,1657762433.71,93956.52,841408919.42,1244401314.25,72813.43,17644,90,65.7,10,4102,23.25,3637,20.61,2495,14.14,2377,13.47,45.2,19928,49.01,1971,5.65,4243,12.15,14165,40.57,18408,52.72,16506,47.28,1044,2.99,11920,34.14,1570,4.5,17051768.89,966.43,56317302.82,3191.87,2802008,158.81,7941,45.01,3622,20.53,149,0.84,0,0,1157,6.56,856,4.85,3728,21.13,0,0,6118,34.67,11525,65.32,17644,41048,2843,6.99,2630,6.47,2142,5.27,979,2.41,101,0.25,848,2.09,481,1.18,3721,9.15,299,0.74,15198,37.37,437,1.07,1.7,2.4,3.1,2,3.5,1.7,95,7,7.36842105263158,23145902,28612.1689732199
1533,B3N,612,8.17,2120,28.29,1901,25.37,805,10.74,791,10.56,469,6.26,518,6.91,395,5.27,495,6.61,3.4,4.4,3.4,-0.4,1.7,2244448.52,276.99,948,11.7,7155,88.3,8103,9172,51.33,4816381.3,594.39,840422500.52,841809177.34,103888.4,422245036.09,617645681.2,79976.67,8103,90.5,65.5,9.5,1960,24.19,1463,18.06,1031,12.72,1177,14.53,46.8,8698,48.67,893,5.69,2342,14.93,6006,38.28,8347,53.2,7341,46.79,402,2.56,5344,34.06,701,4.47,10294473.15,1270.45,34148894.37,4214.35,1329440.07,164.07,2193,27.06,1628,20.09,0,0,1,0.01,126,1.55,693,8.55,2805,34.62,0,0,3692,45.56,4411,54.44,8103,17951,825,4.62,732,4.1,633,3.54,500,2.8,0,0,252,1.41,59,0.33,1170,6.55,211,1.18,4695,26.27,95,0.53,2.1,2.3,3.4,1.8,3.6,1.6,38,2,5.26315789473684,22399260,24440
227,B3P,217,4.58,994,20.98,1486,31.37,407,8.59,414,8.74,191,4.03,209,4.41,316,6.67,719,15.18,4.3,4.5,4.2,-0.3,2.4,787392.32,151.33,507,9.74,4696,90.26,5203,6638,51.75,3501977.51,673.07,600358855.79,600055059.44,115330.55,299758970.06,440013641.33,93708.29,5203,90.8,65.5,9.2,1085,20.85,1199,23.04,756,14.53,776,14.91,47.4,6190,48.26,644,5.94,1493,13.78,4700,43.38,6192,57.15,4641,42.84,331,3.06,3070,28.34,596,5.5,9240675.72,1776.03,33883830.27,6512.36,917988.65,176.43,862,16.57,438,8.42,0,0,0,0,659,12.67,577,11.09,2434,46.78,0,0,3302,63.46,1901,36.54,5203,13271,437,3.41,907,7.07,386,3.01,284,2.21,16,0.12,64,0.5,83,0.65,966,7.53,85,0.66,3383,26.37,33,0.26,2,2.7,3.3,2.3,3.8,1.9,36,1,2.77777777777778,26132470,28612.1689732199
1266,B3R,276,6.76,1021,24.99,1728,42.3,390,9.55,246,6.02,153,3.75,166,4.06,164,4.01,217,5.31,4,4.5,3.9,-0.3,2.1,326552.54,73.48,112,2.52,4332,97.48,4444,5319,50.01,1693932.15,381.17,335439685.12,333918660.81,75142.34,176435548.67,262500169.63,60812.36,4444,88.7,58.9,11.3,899,20.23,912,20.52,773,17.39,734,16.52,47.8,5317,49.99,545,6.21,1196,13.62,2793,31.81,3989,45.43,4792,54.57,412,4.69,3429,39.05,406,4.62,4103111.35,923.29,15751636.82,3544.47,652171.98,146.75,1530,34.43,0,0,84,1.89,7,0.16,267,6.01,490,11.03,1770,39.83,0,0,2015,45.34,2429,54.66,4444,10654,371,3.49,982,9.23,42,0.39,212,1.99,13,0.12,0,0,57,0.54,629,5.91,59,0.55,2489,23.4,13,0.12,2.1,2.5,3.3,2,3.8,1.8,29,1,3.44827586206897,29119038,38466.9819881645
703,B3S,0,0,79,1.29,298,4.85,422,6.87,1703,27.7,1404,22.84,843,13.71,947,15.41,452,7.35,3.8,4.5,3.7,-0.3,2.1,1942557.29,290.24,584,8.73,6109,91.27,6693,7979,53.26,3731193.59,557.48,628700370.43,624469925.11,93300.72,338409391.6,488842014.04,80204.52,6693,90.1,61.6,9.9,1275,19.05,1192,17.81,860,12.85,984,14.7,52.3,7002,46.74,800,6.02,1281,9.65,5767,43.42,7048,53.07,6233,46.93,326,2.45,4035,30.38,1072,8.07,3886236.64,580.64,12337989.89,1843.42,1060776.9,158.49,1976,29.52,3651,54.55,0,0,0,0,178,2.66,266,3.97,623,9.31,0,0,1303,19.47,5390,80.53,6693,15471,1218,8.13,857,5.72,691,4.61,324,2.16,5,0.03,235,1.57,206,1.38,1942,12.96,148,0.99,6093,40.67,294,1.96,1.8,3,3.2,2.5,3.7,2.2,32,1,3.125,7466420,17108
1113,B3T,114,1.67,684,9.99,1678,24.51,1341,19.59,1419,20.73,658,9.61,449,6.56,286,4.18,330,4.82,4.1,4.2,4,-0.6,2.4,559084.41,74.48,56,0.75,7451,99.25,7507,10107,49.77,4761787.54,634.31,896380996.72,897090703.81,119500.97,444515623.49,661226467.69,107377.94,7507,92.9,68.5,7.1,1104,14.71,1705,22.71,1477,19.67,1561,20.79,50.9,10201,50.23,868,5.11,1874,11.03,8999,52.98,10873,64.01,6114,35.99,538,3.17,4046,23.82,663,3.9,16041901.4,2136.93,64745196.55,8624.64,1402330.33,186.8,382,5.09,0,0,253,3.37,1,0.01,115,1.53,1123,14.96,5509,73.38,0,0,6414,85.44,1093,14.56,7507,20323,378,1.86,615,3.03,129,0.64,140,0.69,63,0.31,45,0.22,96,0.47,410,2.02,0,0,2000,9.85,0,0,1.6,3,2.9,2.6,3.3,2.3,52,6,11.5384615384615,459931472,190370.301922769
648,B3V,52,2.08,381,15.25,711,28.45,441,17.65,413,16.53,148,5.92,137,5.48,135,5.4,133,5.32,4.1,4,4,-0.7,2.5,159323.65,58.19,19,0.69,2719,99.31,2738,3458,49.39,1905345.88,695.89,331871151.2,333838477.46,121925.78,171107009.33,246504515.33,105321.73,2738,90.3,62.9,9.7,363,13.26,470,17.17,542,19.8,576,21.04,54.4,3544,50.62,313,5.18,823,13.61,3106,51.38,3929,65,2116,35,164,2.71,1358,22.46,281,4.65,5911005.14,2158.88,22008089.76,8038.02,517196.72,188.9,30,1.1,0,0,231,8.44,2,0.07,0,0,18,0.66,2399,87.62,0,0,2480,90.58,258,9.42,2738,7006,22,0.31,129,1.84,0,0,94,1.34,0,0,0,0,37,0.53,34,0.49,0,0,343,4.9,0,0,1.4,3.2,2.7,2.9,3.2,2.4,8,1,12.5,266551194,125019.319934604
1646,B3Z,58,0.86,1075,15.86,1191,17.57,791,11.67,1476,21.77,707,10.43,692,10.21,490,7.23,357,5.27,4.1,4.2,4.1,-0.6,2.4,710543.71,96.27,28,0.38,7353,99.62,7381,10181,49.3,6732001.56,912.07,1089367507.26,1090016586.5,147676.41,542122787.14,781852975.11,129893.78,7381,93.2,66,6.8,704,9.54,1306,17.69,1667,22.59,1600,21.68,54.9,10471,50.7,857,4.92,1529,8.79,10207,58.65,11736,67.43,5668,32.57,403,2.32,3747,21.53,661,3.8,20221877.94,2739.72,72395690.31,9808.39,1402379,190,28,0.38,0,0,65,0.88,7,0.09,12,0.16,48,0.65,7160,97.01,0,0,6882,93.24,499,6.76,7381,20681,50,0.24,158,0.77,217,1.05,132,0.64,15,0.07,36,0.17,18,0.09,142,0.69,19,0.09,863,4.18,0,0,1.8,3.3,3,2.8,3.4,2.5,35,2,5.71428571428571,1080390974,316265.591461275
1120,B4A,120,1.47,561,6.87,1334,16.33,1632,19.98,1897,23.22,664,8.13,816,9.99,937,11.47,330,4.04,3,4.4,3,-0.3,1.3,3385263.77,391.04,1269,14.66,7388,85.34,8657,11345,51.44,7393264.21,854.02,1153451930.8,1155132210.53,133433.78,575624449.17,833094484.63,103480.94,8657,90.2,63.6,9.8,1224,14.14,1720,19.87,1574,18.18,1470,16.98,52.5,10710,48.56,1052,5.63,1527,8.18,9711,51.99,11238,60.17,7440,39.83,503,2.69,4991,26.72,894,4.79,19138539.79,2210.76,57946051.92,6693.55,1559521.89,180.15,1955,22.58,1316,15.2,5,0.06,0,0,559,6.46,513,5.93,4183,48.32,0,0,5552,64.13,3105,35.87,8657,22176,995,4.51,589,2.67,1145,5.19,219,0.99,0,0,257,1.17,227,1.03,1042,4.72,82,0.37,4906,22.24,159,0.72,1.8,2.7,3,2.2,3.3,1.9,43,1,2.32558139534884,37332100,45502.4750685047
1001,B4B,83,1.18,195,2.78,345,4.92,278,3.96,1286,18.33,717,10.22,461,6.57,1023,14.58,2712,38.65,5.9,3.5,5.8,-1.1,4.1,532569.23,65.59,393,4.84,7725,95.12,8121,11660,50.1,6995172.01,861.47,1179407040.97,1179206048.28,145213.18,574587445.11,841736932.21,115868.19,8121,93,68.6,7,1178,14.51,1880,23.15,1733,21.34,1509,18.58,50,11614,49.9,899,4.76,1741,9.22,10812,57.28,12553,66.5,6324,33.5,467,2.47,4176,22.12,782,4.14,17541122.5,2160.24,60552677.63,7457.23,1663112.32,204.82,167,2.06,2038,25.1,309,3.8,10,0.12,373,4.59,137,1.69,4992,61.47,3,0.04,5157,63.5,2960,36.45,8121,23531,538,2.31,952,4.09,1131,4.86,134,0.58,14,0.06,410,1.76,150,0.64,1183,5.08,121,0.52,4914,21.11,121,0.52,1.3,3.5,2.7,3.1,3.1,2.7,65,10,15.3846153846154,368841148,124817.689732199
